
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file get-ci-ids.cql 

+------------------------------------------------------+
| x.full_node_name                             | ID(x) |
| "ukhacnw20 cluster.via.novonet"              | 5743  |
| "ukhacnw22 cluster.via.novonet"              | 5744  |
| "ukhacnw24 cluster.via.novonet"              | 5745  |
| "ukhacnw26 cluster.via.novonet"              | 5746  |
| "ukhacnw27 cluster.via.novonet"              | 5747  |
| "ukhacnw28 cluster.via.novonet"              | 5748  |
| "ukhacnw29 cluster.via.novonet"              | 5749  |
| "ukhacnw30 cluster.via.novonet"              | 5750  |
| "ukhacnw31 cluster.via.novonet"              | 5751  |
| "ukhacnw32 cluster.via.novonet"              | 5752  |
| "ukhacnw33 cluster.via.novonet"              | 5753  |
| "ukhacnw34 cluster.via.novonet"              | 5754  |
| "ukhacnw35 cluster.via.novonet"              | 5755  |
| "ukhacnw36 cluster.via.novonet"              | 5756  |
| "ukhacnw37 cluster.via.novonet"              | 5757  |
| "ukhacnw39 cluster.via.novonet"              | 5758  |
| "ukhacnw40 cluster.via.novonet"              | 5759  |
| "ukhacn459 cluster.via.novonet"              | 5632  |
| "ukhacn46 cluster.via.novonet"               | 5633  |
| "ukhacn460 cluster.via.novonet"              | 5634  |
| "ukhacn461 cluster.via.novonet"              | 5635  |
| "ukhacn462 cluster.via.novonet"              | 5636  |
| "ukhacn463 cluster.via.novonet"              | 5637  |
| "ukhacn464 cluster.via.novonet"              | 5638  |
| "ukhacn465 cluster.via.novonet"              | 5639  |
| "ukhacn466 cluster.via.novonet"              | 5640  |
| "ukhacn469 cluster.via.novonet"              | 5641  |
| "ukhacn470 cluster.via.novonet"              | 5642  |
| "ukhacn471 cluster.via.novonet"              | 5643  |
| "ukhacn472 cluster.via.novonet"              | 5644  |
| "ukhacn473 cluster.via.novonet"              | 5645  |
| "ukhacn474 cluster.via.novonet"              | 5646  |
| "ukhacn475 cluster.via.novonet"              | 5647  |
| "ukhacn476 cluster.via.novonet"              | 5648  |
| "ukhacn477 cluster.via.novonet"              | 5649  |
| "ukhacn478 cluster.via.novonet"              | 5650  |
| "ukhacn479 cluster.via.novonet"              | 5651  |
| "ukhacn480 cluster.via.novonet"              | 5652  |
| "ukhacn481 cluster.via.novonet"              | 5653  |
| "ukhacn482 cluster.via.novonet"              | 5654  |
| "ukhacn483 cluster.via.novonet"              | 5655  |
| "ukhacn485 cluster.via.novonet"              | 5656  |
| "ukhacn486 cluster.via.novonet"              | 5657  |
| "ukhacn488 cluster.via.novonet"              | 5658  |
| "ukhacn489 cluster.via.novonet"              | 5659  |
