
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:mdm prd hpg"                                  | 8                 | ["AIX","Other"]                           |
| "aviva uk:unisure dev hps"                              | 2                 | ["AIX","Other"]                           |
| "aviva uk:asc extranet sql tst hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:creditor prd hpb"                             | 3                 | ["AIX"]                                   |
| "aviva uk:barclays travel cp dev hpb"                   | 3                 | ["Windows"]                               |
| "aviva uk:hsbc travel cp uat hpb"                       | 2                 | ["Windows"]                               |
| "aviva uk:bank address prd hpp"                         | 2                 | ["z/OS"]                                  |
| "aviva uk:sanctuary (ai) uat3 hpb"                      | 2                 | ["Windows"]                               |
| "aviva uk:iway prd hps"                                 | 9                 | ["Windows"]                               |
| "aviva uk:ukdi fast track renewals uat hps"             | 1                 | ["Windows"]                               |
| "aviva uk:account matching prd hpp"                     | 1                 | ["z/OS"]                                  |
| "aviva uk:websense prd hps"                             | 4                 | ["Windows"]                               |
| "aviva uk:sophos (ai) prd hpb"                          | 13                | ["Windows"]                               |
| "aviva uk:icontact system prd hps(x)"                   | 1                 | ["Windows"]                               |
| "aviva uk:integrated medical screening dev hps(x)"      | 3                 | ["z/OS"]                                  |
| "aviva uk:xml cont enq txnhist bond prd hpg"            | 8                 | ["AIX"]                                   |
| "aviva uk:af support dev hpb"                           | 2                 | ["AIX","Other"]                           |
| "aviva uk:click on a doc pre hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:staff pensions ps enterprise prd hpb"         | 2                 | ["Windows"]                               |
| "aviva uk:sas web report viewer uat hps"                | 1                 | ["Windows"]                               |
| "aviva uk:learning world prd hps"                       | 1                 | ["Windows"]                               |
| "aviva uk:system architect prd hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:business objects (life) dev hps"              | 11                | ["Windows"]                               |
| "aviva uk:tdi6 dev hpg"                                 | 7                 | ["AIX","Other"]                           |
| "aviva uk:tivoli monitoring prd hpg(x)"                 | 17                | ["Other","AIX"]                           |
| "aviva uk:siebel 8 (ukhe) prd hps"                      | 14                | ["Windows"]                               |
| "aviva uk:cmis dev hpb"                                 | 1                 | ["Windows"]                               |
| "aviva uk:ibm director prd hpb"                         | 1                 | ["Windows"]                               |
| "aviva uk:pension & annuity esb (ukl) uat hps"          | 1                 | ["AIX"]                                   |
| "aviva uk:office management (oms/dip) dev hpg"          | 1                 | ["z/OS"]                                  |
| "aviva uk:sas ms add in prd hps"                        | 1                 | ["Windows"]                               |
| "aviva uk:oracle fin prd hpg(x)"                        | 1                 | ["Other"]                                 |
| "aviva uk:gr smart tst hpb"                             | 1                 | ["Windows"]                               |
| "aviva uk:datascore uat0 hps"                           | 3                 | ["Windows"]                               |
| "aviva uk:barclays pwss cp prd hps"                     | 6                 | ["Windows"]                               |
| "aviva uk:assyst contact user feed prd hpg"             | 1                 | ["Other"]                                 |
| "aviva uk:asc outbound prv hps"                         | 2                 | ["Windows"]                               |
| "aviva uk:life70 stevenage prd hpg"                     | 1                 | ["z/OS"]                                  |
| "aviva uk:oep dashboard uat hps"                        | 1                 | ["z/OS"]                                  |
| "aviva uk:rex pre hps"                                  | 2                 | ["Windows"]                               |
| "aviva uk:gr smart prd hpg"                             | 1                 | ["Windows"]                               |
| "aviva uk:content manager uat hps"                      | 2                 | ["Windows"]                               |
| "aviva uk:pci tst hpb"                                  | 2                 | ["AIX"]                                   |
| "aviva uk:epic prd hps"                                 | 17                | ["Windows"]                               |
| "aviva uk:gas prd hps"                                  | 1                 | ["Windows"]                               |
| "aviva uk:dialogue (ukgi) pre hps"                      | 1                 | ["z/OS"]                                  |
| "aviva uk:assyst contact user feed prd hps"             | 1                 | ["Windows"]                               |
| "aviva uk:etl informatica (ukl) uat hpb"                | 3                 | ["AIX"]                                   |
| "aviva uk:equity e cgt prd hps"                         | 2                 | ["Windows"]                               |
| "aviva uk:tam 5 (ecommerce) dev hpb"                    | 7                 | ["Windows"]                               |
| "aviva uk:flood & subsidence dev hps"                   | 1                 | ["z/OS"]                                  |
| "aviva uk:ukdi internet tst hpb"                        | 1                 | ["Windows"]                               |
| "aviva uk:eureka prd hps"                               | 1                 | ["Windows"]                               |
| "aviva uk:message broker uat hpb"                       | 2                 | ["AIX"]                                   |
| "aviva uk:git dev hpb"                                  | 2                 | ["Windows","AIX"]                         |
| "aviva uk:anti virus prd hpb(x)"                        | 1                 | ["Windows"]                               |
| "aviva uk:sharepoint dev hps"                           | 3                 | ["Windows","VMWare"]                      |
| "aviva uk:prosper b2b life - santander uat hps"         | 1                 | ["AIX"]                                   |
| "aviva uk:investment & protection esb (ukl) tst hpb"    | 3                 | ["Linux"]                                 |
| "aviva uk:ldap af ecom tst hpb"                         | 2                 | ["AIX"]                                   |
| "aviva uk:m/f fin bank wizard uat hpp"                  | 1                 | ["z/OS"]                                  |
| "aviva uk:dell open manage prd hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:tso infoman dev hps"                          | 1                 | ["z/OS"]                                  |
| "aviva uk:investment & protection esb (ukl) prd hpg"    | 23                | ["#UNDEFINED#","AIX","Other"]             |
| "aviva uk:commercial vision prd hpg"                    | 2                 | ["AIX"]                                   |
| "aviva uk:build management dev hpb"                     | 1                 | ["Windows"]                               |
| "aviva uk:enhanced data warehouse dev hps"              | 3                 | ["z/OS"]                                  |
| "aviva uk:document capture uat hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:variable annuity dev hpb"                     | 2                 | ["AIX","Other"]                           |
| "aviva uk:integrated medical screening prd hpg"         | 1                 | ["z/OS"]                                  |
| "aviva uk:intraquotes tst hpb"                          | 2                 | ["Windows"]                               |
| "aviva uk:wsrte (ireland) prd hpg"                      | 2                 | ["Windows"]                               |
| "aviva uk:midrange cde prd hpg"                         | 2                 | ["AIX"]                                   |
| "aviva uk:common performance mart tst hps"              | 3                 | ["z/OS"]                                  |
| "aviva uk:saleslogix uat1 hpb"                          | 2                 | ["Windows"]                               |
| "aviva uk:cyber-ark epv uat hpb"                        | 2                 | ["Windows"]                               |
| "aviva uk:pmi (ukgi) dev hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:midrange nim prd hpb"                         | 1                 | ["AIX"]                                   |
| "aviva uk:euclid pc prd hps"                            | 2                 | ["Windows"]                               |
| "aviva uk:jenkins dev hpb"                              | 2                 | ["Windows"]                               |
| "aviva uk:file server prd hps(x)"                       | 1                 | ["Windows"]                               |
| "aviva uk:lmg01 lmg prd hpb"                            | 13                | ["Windows"]                               |
| "aviva uk:internal portal pre hpg"                      | 8                 | ["AIX"]                                   |
| "aviva uk:pension & annuity esb (ukl) dev hpb"          | 3                 | ["Linux"]                                 |
| "aviva uk:on demand pre hps"                            | 1                 | ["AIX"]                                   |
| "aviva uk:distributed server management prd hpb"        | 1                 | ["Windows"]                               |
| "aviva uk:box management dev hpb"                       | 1                 | ["Other"]                                 |
| "aviva uk:sas olap cubes studio pre hps"                | 2                 | ["Windows"]                               |
| "aviva uk:ldap af ecom dev hpg"                         | 1                 | ["AIX"]                                   |
| "aviva uk:virtual host prd hps"                         | 126               | ["VMWare","#UNDEFINED#"]                  |
| "aviva uk:oracle fin soa tst hpb"                       | 2                 | ["AIX","Other"]                           |
| "aviva uk:hsbc home cp dev hpb"                         | 8                 | ["Windows"]                               |
| "aviva uk:cps prd hpp"                                  | 5                 | ["z/OS"]                                  |
| "aviva uk:pci prd hps"                                  | 1                 | ["Other"]                                 |
| "aviva uk:midrange management server prd hpg(x)"        | 4                 | ["AIX"]                                   |
| "aviva uk:pluto dev hps"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:distributed server management dev hpb"        | 2                 | ["Windows"]                               |
| "aviva uk:nightwatchman (ai) uat hpb"                   | 2                 | ["Windows"]                               |
| "aviva uk:oracle fin soa pre hpb"                       | 2                 | ["AIX","Other"]                           |
| "aviva uk:e-solar dev hps"                              | 1                 | ["Windows"]                               |
| "aviva uk:softphone wallboard prd hps"                  | 4                 | ["Windows"]                               |
| "aviva uk:prosper b2b life - santander sit hpg"         | 1                 | ["Other"]                                 |
| "aviva uk:e-collections prd hps"                        | 2                 | ["AIX"]                                   |
| "aviva uk:it access portal prd hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:pension & annuity esb (ukl) sit hps"          | 1                 | ["AIX"]                                   |
| "aviva uk:gemini dev hps"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:oracle dwh (ukl) tst hpb"                     | 3                 | ["AIX","Other"]                           |
| "aviva uk:qpasa prd hpg"                                | 2                 | ["Windows"]                               |
| "aviva uk:payg dev hps"                                 | 2                 | ["Windows"]                               |
| "aviva uk:ifa database uat hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:tm1 actuarial dev hpb"                        | 1                 | ["Windows"]                               |
| "mainframe aviva italy prd hpg"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:landscape prd hps"                            | 2                 | ["Windows"]                               |
| "aviva uk:midrange oracle model office hps"             | 2                 | ["AIX"]                                   |
| "aviva uk:customer value management tst hpb"            | 2                 | ["AIX"]                                   |
| "aviva uk:asc mq dev hpb"                               | 3                 | ["AIX","Windows"]                         |
| "aviva uk:cyber-ark pvwa prd hpg"                       | 2                 | ["Windows"]                               |
| "aviva uk:demand capture prd hpg"                       | 1                 | ["Windows"]                               |
| "aviva uk:m/f experian payments gateway pre hps"        | 1                 | ["Windows"]                               |
| "aviva uk:bdr uat3 hpb"                                 | 2                 | ["Windows"]                               |
| "aviva uk:axis (ukl) uat hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:galahad (gip) dev hpg"                        | 3                 | ["AIX","Other"]                           |
| "aviva uk:accumulation uat hps"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:my policy pre hps"                            | 5                 | ["Windows"]                               |
| "aviva uk:tdi6 dev hps"                                 | 5                 | ["AIX","Other"]                           |
| "aviva uk:vca self service portal tst hpb"              | 7                 | ["Windows"]                               |
| "aviva uk:investment & protection wps (ukl) sit hps"    | 3                 | ["AIX","Other"]                           |
| "aviva uk:bacs control dev hps"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:operational data store (ods) uat0 hps"        | 2                 | ["Windows"]                               |
| "aviva uk:solaris management (ai) npe hpb"              | 3                 | ["SunOS/Solaris"]                         |
| "aviva uk:content manager dev hpb"                      | 1                 | ["Windows"]                               |
| "aviva uk:eureka dev hps"                               | 1                 | ["Windows"]                               |
| "aviva uk:asc magnum pre hps"                           | 9                 | ["Windows","VMWare"]                      |
| "aviva uk:sccm (ai) uat0 hpb"                           | 2                 | ["Windows"]                               |
| "aviva uk:lcs uat hpb"                                  | 2                 | ["Windows"]                               |
| "aviva uk:bob uat0 hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:bmmi tst hps"                                 | 3                 | ["z/OS"]                                  |
| "aviva uk:poet prd hpg"                                 | 12                | ["Windows"]                               |
| "aviva uk:eservices tst hpb"                            | 4                 | ["AIX"]                                   |
| "aviva uk:print advisor tool dev hpb"                   | 1                 | ["Windows"]                               |
| "aviva uk:agreement esb (ukl) prv hps"                  | 1                 | ["AIX"]                                   |
| "aviva uk:assyst dw bridge prd hpg"                     | 1                 | ["Windows"]                               |
| "aviva uk:pol dev hps"                                  | 1                 | ["Windows"]                               |
| "aviva uk:guidewire claim center prd hps"               | 6                 | ["Linux"]                                 |
| "aviva uk:mainframe infrastructure support tst hpb"     | 1                 | ["z/OS"]                                  |
| "aviva uk:jira prd hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:quad prd hpp"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:galahad (life) dev hps"                       | 1                 | ["AIX"]                                   |
| "aviva uk:party esb (ukl) sit hps"                      | 3                 | ["AIX","Other"]                           |
| "aviva uk:sccm (ai) prd hpb"                            | 1                 | ["Windows"]                               |
| "aviva uk:gemini-focol dev hpg"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:midrange hpux vmhost tst hpb fmo"             | 2                 | ["HP-UX"]                                 |
| "aviva uk:tim5 pre hpg"                                 | 12                | ["AIX","Other"]                           |
| "aviva uk:eservices dev hpg"                            | 1                 | ["AIX"]                                   |
| "aviva uk:sitefinity cms prd hpg"                       | 4                 | ["Windows"]                               |
| "aviva uk:cvm exclusions dev hpb"                       | 1                 | ["Windows"]                               |
| "aviva uk:sales intelligence prd hps"                   | 1                 | ["Windows"]                               |
| "aviva uk:guidewire claim center dev hps"               | 7                 | ["Linux","AIX"]                           |
| "aviva uk:it access portal dev hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:mainframe server management prd hpg"          | 4                 | ["z/OS"]                                  |
| "aviva uk:m/f experian payments gateway prd hps(x)"     | 2                 | ["Windows"]                               |
| "aviva uk:tdi6 prd hps"                                 | 3                 | ["AIX"]                                   |
| "aviva uk:gi02 lmg prd hps"                             | 4                 | ["Windows"]                               |
| "aviva uk:customer portal prd hpg"                      | 18                | ["AIX","Windows","Other"]                 |
| "aviva uk:radar (ukgi rtpo) sit hpb"                    | 2                 | ["Windows"]                               |
| "aviva uk:opportunity tracker prd hps"                  | 4                 | ["Windows"]                               |
| "aviva uk:bladelogic prd hpg"                           | 10                | ["Windows"]                               |
| "aviva uk:ukdi motor quote & buy dev hpb"               | 8                 | ["Windows"]                               |
| "aviva uk:dmi uatr hpb"                                 | 4                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:investment & protection esb (ukl) pre hpb"    | 17                | ["Linux"]                                 |
| "aviva uk:asc outbound tst hpb"                         | 1                 | ["Windows"]                               |
| "aviva uk:landscape dev hps"                            | 1                 | ["Windows"]                               |
| "aviva uk:oracle fin soa prd hpg"                       | 3                 | ["AIX","Other"]                           |
| "aviva uk:new business tracking (nbt) prd hps"          | 2                 | ["Windows"]                               |
| "aviva uk:tm1 1vot dev hpb"                             | 1                 | ["Windows"]                               |
| "aviva uk:srpa server prd hpg"                          | 2                 | ["Windows"]                               |
| "aviva uk:splunk (ukl) prd hpg"                         | 6                 | ["Windows"]                               |
| "aviva uk:pension & annuity wps (ukl) tst hps"          | 1                 | ["AIX"]                                   |
| "aviva uk:eip dev1 hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:netquotes uat hps"                            | 1                 | ["Windows"]                               |
| "aviva uk:qas proweb dev hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:poet prd hpp"                                 | 1                 | ["z/OS"]                                  |
| "aviva uk:exceed policy pre hps(x)"                     | 3                 | ["z/OS"]                                  |
| "aviva uk:jenkins prd hpb"                              | 3                 | ["Windows"]                               |
| "aviva uk:midrange quorum prd hpb"                      | 1                 | ["HP-UX"]                                 |
| "aviva uk:file handling system uat hps"                 | 1                 | ["z/OS"]                                  |
| "aviva uk:prosper b2b life - barclays tst hps"          | 1                 | ["AIX"]                                   |
| "aviva uk:print server (ai) prd hpb"                    | 5                 | ["Windows"]                               |
| "aviva uk:radia deployment dev hps"                     | 1                 | ["Windows"]                               |
| "aviva uk:lotus notes prd hpg"                          | 1                 | ["Windows"]                               |
| "aviva uk:guidewire contact manager uat hps"            | 4                 | ["Linux"]                                 |
| "aviva uk:cs heritage hand offs outbound prd hpg"       | 1                 | ["Windows"]                               |
| "aviva uk:dialogue (life) prd hpp"                      | 2                 | ["z/OS"]                                  |
| "aviva uk:common wps (ukl) pre hpg"                     | 4                 | ["AIX"]                                   |
| "aviva uk:party esb (ukl) prv hps"                      | 1                 | ["AIX"]                                   |
| "aviva uk:build forge (ukl) prd hps"                    | 3                 | ["AIX","Other"]                           |
| "aviva uk:customer value management prd hps"            | 1                 | ["Other"]                                 |
| "aviva uk:electronic collections prd hpp"               | 1                 | ["z/OS"]                                  |
| "aviva uk:nuqleus-3d dev hps"                           | 1                 | ["Windows"]                               |
| "aviva uk:dynamic pricing prd hpg"                      | 4                 | ["AIX"]                                   |
| "aviva uk:softphone log file manager tst hpb"           | 1                 | ["Windows"]                               |
| "aviva uk:tam-sso (desktop) pre hpg"                    | 2                 | ["Windows"]                               |
| "aviva uk:exceed policy tst hpb"                        | 50                | ["Windows"]                               |
| "aviva uk:ukdi home call centre web q&b prd hps"        | 4                 | ["Windows"]                               |
| "aviva uk:business objects (life) dev hpg(x)"           | 2                 | ["Windows"]                               |
| "aviva uk:nui data warehouse tst hps"                   | 3                 | ["z/OS"]                                  |
| "aviva uk:prosper b2c life - tesco pre hpg"             | 16                | ["Linux","AIX"]                           |
| "aviva uk:galahad (gip) prd hps"                        | 2                 | ["AIX"]                                   |
| "aviva uk:payprep tst hps"                              | 1                 | ["z/OS"]                                  |
| "aviva uk:aries (ukl) prd hpb"                          | 3                 | ["Windows"]                               |
| "aviva uk:xml new joiner prd hpp"                       | 4                 | ["AIX"]                                   |
| "aviva uk:adwl sql db uat hpb"                          | 1                 | ["Windows"]                               |
| "aviva uk:midrange model office tst hpb"                | 1                 | ["HP-UX"]                                 |
| "aviva uk:sccm prd hpb"                                 | 6                 | ["Windows"]                               |
| "aviva uk:dialogue (life) prd hpg"                      | 1                 | ["Windows"]                               |
| "aviva uk:adviser portal tst hps"                       | 1                 | ["AIX"]                                   |
| "aviva uk:tape services prd hps(x)"                     | 1                 | ["Other"]                                 |
| "aviva uk:callibrand prd hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:rightfax prd hps"                             | 3                 | ["Windows"]                               |
| "aviva uk:cuword prd hpg"                               | 1                 | ["z/OS"]                                  |
| "aviva uk:dashboard prd hps"                            | 1                 | ["Windows"]                               |
| "aviva uk:culis prd hpg"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:sam - secure auth msging uat0 hpb"            | 2                 | ["Windows"]                               |
| "aviva uk:data management prd hpb(x)"                   | 24                | ["Windows"]                               |
| "aviva uk:dmi uat1 hps"                                 | 3                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:documentum uat hpb"                           | 2                 | ["Windows"]                               |
| "aviva uk:commercial vision prd hps"                    | 2                 | ["Windows"]                               |
| "aviva uk:first direct home pre hps"                    | 4                 | ["Windows"]                               |
| "aviva uk:assetpro prd hpg"                             | 1                 | ["Windows"]                               |
| "aviva uk:vio prd hpg"                                  | 44                | ["AIX","Other"]                           |
| "aviva uk:active directory itec prd hpb"                | 3                 | ["Windows"]                               |
| "aviva uk:tim5 pre hps"                                 | 2                 | ["AIX","Other"]                           |
| "aviva uk:anti virus prd hpg"                           | 1                 | ["Windows"]                               |
| "aviva uk:gemini life prd hpg"                          | 2                 | ["Other"]                                 |
| "aviva uk:mainframe server management dr hps"           | 6                 | ["z/OS"]                                  |
| "aviva uk:rita ii dev hps"                              | 1                 | ["z/OS"]                                  |
| "aviva uk:bre (ukhe) prd hpg"                           | 9                 | ["AIX","Other"]                           |
| "aviva uk:cosmic claims prd hpg"                        | 6                 | ["AIX","z/OS"]                            |
| "aviva uk:diary prd hps"                                | 1                 | ["Windows"]                               |
| "aviva uk:datascore uat1 hps"                           | 2                 | ["Windows"]                               |
| "aviva uk:business objects (life) prd hpg"              | 4                 | ["Windows"]                               |
| "aviva uk:sbc standby hps(x)"                           | 4                 | ["Windows"]                               |
| "aviva uk:cosmic claims prd hpp"                        | 4                 | ["z/OS"]                                  |
| "aviva uk:isis netquotes tst hps"                       | 1                 | ["AIX"]                                   |
| "aviva uk:oracle fin isupp tst hps"                     | 5                 | ["AIX","Other"]                           |
| "aviva uk:upp pricing datamarts prd hpg"                | 3                 | ["AIX","Other"]                           |
| "aviva uk:oracle hr discoverer tst hps"                 | 2                 | ["Other"]                                 |
| "aviva uk:oracle hyperion planning dev hps"             | 2                 | ["AIX"]                                   |
| "aviva uk:creditor tst hpb"                             | 2                 | ["AIX"]                                   |
| "aviva uk:merlin dev hpb"                               | 4                 | ["AIX","Other"]                           |
| "aviva uk:wps (ukhe) sit hpg"                           | 4                 | ["AIX","Other"]                           |
| "aviva uk:jboss uat hpg"                                | 1                 | ["Windows"]                               |
| "aviva uk:engineers diary dev hpb"                      | 2                 | ["Windows"]                               |
| "aviva uk:mq (ai) uat hpb"                              | 9                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:ordinary business prd hpg"                    | 2                 | ["z/OS"]                                  |
| "aviva uk:cressida prd hps"                             | 2                 | ["Windows"]                               |
| "aviva uk:aquadata prd hpp"                             | 1                 | ["z/OS"]                                  |
| "aviva uk:unisure tst hpg(x)"                           | 1                 | ["Windows"]                               |
| "aviva uk:adviser portal (public) pre hpg"              | 6                 | ["AIX","Windows"]                         |
| "aviva uk:barra uat3 hpb"                               | 1                 | ["Windows"]                               |
| "aviva uk:ordinary business prd hpp"                    | 1                 | ["z/OS"]                                  |
| "aviva uk:ecommerce single sign on prv hpg"             | 18                | ["AIX","Linux"]                           |
| "aviva uk:your reports tst hps"                         | 2                 | ["Windows"]                               |
| "aviva uk:unisure dev hpg(x)"                           | 3                 | ["Other","AIX"]                           |
| "aviva uk:exceed claims tst hpb"                        | 10                | ["Windows"]                               |
| "aviva uk:administrator (ukhe) pre hpg"                 | 3                 | ["AIX","Other"]                           |
| "aviva uk:ukdi home quote & buy dev hpb"                | 6                 | ["Windows"]                               |
| "aviva uk:active directory dc prd hpg"                  | 1                 | ["Windows"]                               |
| "aviva uk:mainframe infrastructure support prd hps"     | 1                 | ["z/OS"]                                  |
| "aviva uk:exceed claims pre hpb"                        | 4                 | ["Windows"]                               |
| "aviva uk:cvs appservers01 uki1 prd hps"                | 8                 | ["Windows"]                               |
| "aviva uk:quotes gears prd hpg"                         | 1                 | ["z/OS"]                                  |
| "aviva uk:oracle fin uat hps"                           | 6                 | ["AIX","Other"]                           |
| "aviva uk:ai ftp prd hpg"                               | 1                 | ["Windows"]                               |
| "aviva uk:complex commercial price calc pre hps"        | 4                 | ["Windows"]                               |
| "aviva uk:dhs facility notification prd hpg"            | 1                 | ["Windows"]                               |
| "aviva uk:qlikview prd hpg"                             | 2                 | ["Windows"]                               |
| "aviva uk:intermediary communication prd hpg"           | 1                 | ["z/OS"]                                  |
| "aviva uk:motor claims - cps tst hps"                   | 3                 | ["z/OS"]                                  |
| "aviva uk:pcontrol unit pricing prd hpg"                | 3                 | ["Windows"]                               |
| "aviva uk:siebel 8 (ukhe) prd hpg"                      | 11                | ["Windows","AIX","Other"]                 |
| "aviva uk:mdm pre hpg"                                  | 8                 | ["AIX","Other"]                           |
| "aviva uk:connect direct prd hpb"                       | 1                 | ["Windows"]                               |
| "aviva uk:wps (ukhe) uat hps"                           | 2                 | ["AIX","Other"]                           |
| "aviva uk:altiris prd hpb"                              | 1                 | ["Windows"]                               |
| "aviva uk:ldap af ecom dev hps"                         | 1                 | ["AIX"]                                   |
| "aviva uk:basware uat3 hpb"                             | 2                 | ["Windows"]                               |
| "aviva uk:p142 prd hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:tivoli monitoring tst hpb"                    | 1                 | ["AIX"]                                   |
| "aviva uk:guidewire xml data store pre hpg"             | 1                 | ["Linux"]                                 |
| "aviva uk:websphere business monitor prd hpg"           | 1                 | ["Other"]                                 |
| "aviva uk:4sight uat0 hpb"                              | 4                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:unisure dev hps(x)"                           | 7                 | ["Windows","z/OS"]                        |
| "aviva uk:prosper b2b life - santander sit hps"         | 2                 | ["AIX"]                                   |
| "aviva uk:creditor diary dev hps"                       | 1                 | ["z/OS"]                                  |
| "aviva uk:autocad prd hps"                              | 1                 | ["Windows"]                               |
| "aviva uk:tcim dev hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:crm - icontact app server (ai) prd hpg"       | 1                 | ["Windows"]                               |
| "aviva uk:teamworks uat2 hpb"                           | 2                 | ["Windows"]                               |
| "aviva uk:dac - dividends & coupons prd hpg"            | 1                 | ["Windows"]                               |
| "aviva uk:doc gen prd hps"                              | 4                 | ["Windows"]                               |
| "aviva uk:cupas prd hpg"                                | 1                 | ["z/OS"]                                  |
| "aviva uk:external email gateway prd hpg"               | 2                 | ["Windows"]                               |
| "aviva uk:cvh prd hpg"                                  | 12                | ["AIX"]                                   |
| "aviva uk:message broker (ai) uatr hpb"                 | 3                 | ["SunOS/Solaris"]                         |
| "aviva uk:tivoli monitoring dev hpg"                    | 3                 | ["AIX","Other"]                           |
| "aviva uk:midrange server management pre hpg"           | 2                 | ["AIX","Other"]                           |
| "aviva uk:bdr prd hpg"                                  | 3                 | ["Windows"]                               |
| "aviva uk:midrange console server prd hps"              | 3                 | ["AIX"]                                   |
| "aviva uk:cardmaster prd hpp"                           | 3                 | ["z/OS"]                                  |
| "aviva uk:trillium prd hpp"                             | 4                 | ["z/OS"]                                  |
| "aviva uk:intraquotes prd hps"                          | 6                 | ["Windows"]                               |
| "aviva uk:staff pensions scanning prd hpb"              | 2                 | ["Windows"]                               |
| "aviva uk:midrange server management poc hpg"           | 17                | ["AIX","Other"]                           |
| "aviva uk:webseries prd hpg"                            | 5                 | ["Windows"]                               |
| "aviva uk:prosper b2b life - santander prv hpg"         | 4                 | ["AIX"]                                   |
| "aviva uk:oracle fin isupp pre hps"                     | 5                 | ["AIX","Other"]                           |
| "aviva uk:common esb (ukl) uat hps"                     | 1                 | ["AIX"]                                   |
| "aviva uk:foglight dev hps(x)"                          | 4                 | ["Windows"]                               |
| "aviva uk:ukdi internet dev hps"                        | 1                 | ["Windows"]                               |
| "aviva uk:unisure prd hpp"                              | 3                 | ["AIX","z/OS"]                            |
| "aviva uk:business objects (agc) dev hpb"               | 3                 | ["Windows"]                               |
| "aviva uk:ukdi motor quote & buy prv hps"               | 2                 | ["Windows"]                               |
| "aviva uk:investment & protection wps (ukl) prv hps"    | 1                 | ["AIX"]                                   |
| "aviva uk:softphone (in-house) dev hpb"                 | 4                 | ["Windows"]                               |
| "aviva uk:sbc prophet01 prd hps"                        | 7                 | ["Windows"]                               |
| "aviva uk:total incident management - colossus uat hps" | 1                 | ["z/OS"]                                  |
| "aviva uk:creditor lifestyle dev hpb"                   | 4                 | ["Windows"]                               |
| "aviva uk:exceed claims dev hps(x)"                     | 5                 | ["z/OS"]                                  |
| "aviva uk:eservices dev hps"                            | 4                 | ["AIX"]                                   |
| "aviva uk:mi marts tst hps"                             | 2                 | ["z/OS"]                                  |
| "aviva uk:iads uat2 hpb"                                | 3                 | ["Windows","SunOS/Solaris"]               |
| "aviva uk:exceed claims dev hpg(x)"                     | 1                 | ["Windows"]                               |
| "aviva uk:af web service gateway dev hpb"               | 9                 | ["Linux","AIX"]                           |
| "aviva uk:prosper b2b life - rbsg dev hps"              | 1                 | ["AIX"]                                   |
| "aviva uk:home claims - cps tst hps"                    | 3                 | ["z/OS"]                                  |
| "aviva uk:ukdi travel quote & buy uat hpb"              | 2                 | ["Windows"]                               |
| "aviva uk:hsbc home cp prv hps"                         | 1                 | ["Windows"]                               |
| "aviva uk:product catalogue prd hpp"                    | 1                 | ["z/OS"]                                  |
| "aviva uk:gemini life prd hps"                          | 1                 | ["Windows"]                               |
| "aviva uk:pci tst hps"                                  | 1                 | ["Other"]                                 |
| "aviva uk:tdi6 prd hpg"                                 | 10                | ["AIX","Other"]                           |
| "aviva uk:fum uat2 hpb"                                 | 4                 | ["SunOS/Solaris"]                         |
| "aviva uk:barra prd hpg"                                | 1                 | ["Windows"]                               |
| "aviva uk:integrated medical screening dev hpg(x)"      | 1                 | ["z/OS"]                                  |
| "aviva uk:prosper b2c life - tesco tst hps"             | 4                 | ["AIX","Other"]                           |
| "aviva uk:gi client tst hps"                            | 2                 | ["z/OS"]                                  |
| "aviva uk:sas web report studio dev hps"                | 2                 | ["Windows"]                               |
| "aviva uk:midrange server management poc hps"           | 30                | ["Linux","AIX","Other"]                   |
