Full Node Name|Usage|Detailed Usage
appl153a.via.novonet|Business Application|
appl154a.via.novonet|Business Application|
appl155a.via.novonet|Business Application|
appl158a.via.novonet|Business Application|
appl159a.via.novonet|Business Application|
appl161a.via.novonet|Business Application|
appl162a.via.novonet|Business Application|
appl165a.via.novonet|Business Application|
appl167a.via.novonet|Business Application|
appl168a.via.novonet|Business Application|
appl169a.via.novonet|Business Application|
appl171a.via.novonet|Business Application|
appl172a.via.novonet|Business Application|
appl174a.via.novonet|Business Application|
appl188a.via.novonet|Business Application|
appl193a.via.novonet|Business Application|
appl194a.via.novonet|Business Application|
appl195a.via.novonet|Business Application|
appl196a.via.novonet|Business Application|
appl210a.via.novonet|Business Application|
appl211a.via.novonet|Business Application|
appl213a.via.novonet|Business Application|
appl217a.via.novonet|Business Application|
appl229a.via.novonet|Business Application|
appl230a.via.novonet|Business Application|
appl231a.via.novonet|Business Application|
appl233a.via.novonet|Business Application|
appl237a.via.novonet|Business Application|
appl239a.via.novonet|Business Application|
appl240a.via.novonet|Business Application|
appl241a.via.novonet|Business Application|
appl242a.via.novonet|Business Application|
appl243a.via.novonet|Business Application|
appl244a.via.novonet|Business Application|
appl245a.via.novonet|Business Application|
appl246a.via.novonet|Business Application|
appl249a.via.novonet|Business Application|
appl250a.via.novonet|Business Application|
appl254a.via.novonet|Business Application|
appl255a.via.novonet|Business Application|
appl257a.via.novonet|Business Application|
appl259a.via.novonet|Business Application|
appl261a.via.novonet|Business Application|
appl263a.via.novonet|Business Application|
appl265a.via.novonet|Business Application|
appl267a.via.novonet|Business Application|
appl269a.via.novonet|Business Application|
appl283a.via.novonet|Business Application|
appl284a.via.novonet|Business Application|
appl285a.via.novonet|Business Application|
appl286a.via.novonet|Business Application|
appl287a.via.novonet|Business Application|
appl288a.via.novonet|Business Application|
appl289a.via.novonet|Business Application|
appl298a.via.novonet|Business Application|
appl299a.via.novonet|Business Application|
appl300a.via.novonet|Business Application|
appl303a.via.novonet|Business Application|
appl305a.via.novonet|Business Application|
appl306a.via.novonet|Business Application|
appl307a.via.novonet|Business Application|
appl314a.via.novonet|Business Application|
appl315a.via.novonet|Business Application|
appl317a.via.novonet|Business Application|
appl318a.via.novonet|Business Application|
appl319a.via.novonet|Business Application|
appl323a.via.novonet|Business Application|
appl324a.via.novonet|Business Application|
appl325a.via.novonet|Business Application|
appl326a.via.novonet|Business Application|
appl327a.via.novonet|Business Application|
appl328a.via.novonet|Business Application|
appl331a.via.novonet|Business Application|
appl338a.via.novonet|Business Application|
appl340a.via.novonet|Business Application|
appl341a.via.novonet|Business Application|
appl342a.via.novonet|Business Application|
appl343a.via.novonet|Business Application|
appl344a.via.novonet|Business Application|
appl347a.via.novonet|Business Application|
appl898a.via.novonet|Business Application|
appl899a.via.novonet|Business Application|
appp001a.via.novonet|Other|CIC4
appp035a.via.novonet|Business Application|
appp039a.via.novonet|Business Application|
appp040a.via.novonet|Business Application|
appp042a.via.novonet|Business Application|
appp043a.via.novonet|Business Application|
appp044a.via.novonet|Business Application|
appp048a.via.novonet|Business Application|
appp050a.via.novonet|Business Application|
appp314l.via.novonet|Business Application|
appp315l.via.novonet|Business Application|
appp316l.via.novonet|Business Application|
appp400a.ecs.com|Business Application|
appp401a.ecs.com|Business Application|
appp479l.via.novonet|Business Application|
appp481l.via.novonet|Business Application|
appp483l.via.novonet|Business Application|
appp490l.via.novonet|Business Application|
appp491l.via.novonet|Business Application|
appp492l.via.novonet|Business Application|
appp493l.via.novonet|Business Application|
appp494l.via.novonet|Business Application|
appp495l.via.novonet|Business Application|
appr001a.via.novonet|Business Application|
appr002a.via.novonet|Business Application|
appr003a.via.novonet|Business Application|
appr004a.via.novonet|Business Application|
apps004a.via.novonet|Business Application|
apps010a.via.novonet|Business Application|
appt003a.via.novonet|Business Application|
appu006a.via.novonet|Business Application|
appu007a.via.novonet|Business Application|
appu008a.via.novonet|Business Application|
appu018a.via.novonet|Business Application|
appu022a.via.novonet|Business Application|
appu025a.via.novonet|Business Application|
appu027a.via.novonet|Business Application|
appu028a.via.novonet|Business Application|
appu031a.via.novonet|Business Application|
appu032a.via.novonet|Business Application|
appu034a.via.novonet|Business Application|
appu037a.via.novonet|Business Application|
appu150a.ecs.com|Business Application|
appv332a.via.novonet|Business Application|
appw500a.ecs.com|Business Application|
armstrong1.via.novonet|Other|Midrange Host
armstrong2.via.novonet|Other|Midrange Host
aston cluster.via.novonet|Other|Midrange Cluster
austin cluster.via.novonet|Other|Midrange Cluster
avitp01.via.novonet|Other|Mainframe Lpar
avits01.via.novonet|Other|Mainframe Lpar
baker1.via.novonet|Other|Midrange Host
baker2.via.novonet|Other|Midrange Host
bauer1.via.novonet|Other|Midrange Host
bauer2.via.novonet|Other|Midrange Host
bclnu1zb.norwich-union.com|Infrastructure Application|
bclnu5ha.via.novonet|Infrastructure Application|
bclnu9aa.via.novonet|Infrastructure Application|
bddnu1sa.via.novonet|Other|Build Server
beaker.via.novonet|Other|Midrange Lpar
beaker_bunson.via.novonet|Other|Midrange Host
belgiumdev.via.novonet|Other|AS400
belgiumprd.via.novonet|Other|AS400
belprdha.via.novonet|Other|AS400
bldl001p.via.novonet|Directory Services|
bldl005d.via.novonet|Citrix|Spire
bldl006d.via.novonet|Citrix|Spire
bldl007d.via.novonet|Other|CIC2
bldl0101.via.novonet|Other|Build Server
bldl0102.via.novonet|Other|Build Server
bldl302a.via.novonet|Business Application|
bldl303a.via.novonet|Business Application|
bldl304a.via.novonet|Business Application|
bldl365a.via.novonet|Business Application|
bldl366a.via.novonet|Other|Build Server
bldl369a.via.novonet|Other|Build Server
blds001a.via.novonet|Other|Build Server
blds002a.via.novonet|Other|Build Server
bmw cluster.via.novonet|Other|Midrange Cluster
bond1.via.novonet|Other|Midrange Host
bond2.via.novonet|Other|Midrange Host
bourne1.via.novonet|Other|Midrange Host
bourne2.via.novonet|Other|Midrange Host
bradano_volturno.via.novonet|Other|Midrange Host
brooklands.via.novonet|Other|Midrange Lpar
bunsen.via.novonet|Other|Midrange Lpar
burns1.via.novonet|Other|Midrange Host
burns2.via.novonet|Other|Midrange Host
buscrit01.via.novonet|Other|VF Gold
buscrit02.via.novonet|Other|VF Gold
buscrit03.via.novonet|Other|VF Gold
butterfly cluster.via.novonet|Other|Midrange Cluster
c3_data.im.root-domain.net|Other|Data Warehouse
camilla.via.novonet|Other|Midrange Lpar
ccpocd01.via.novonet|Other|Midrange Lpar
ccpocd02.via.novonet|Other|Midrange Lpar
cdevblb.via.novonet|Other|Midrange Lpar
cdevplb.via.novonet|Other|Midrange Lpar
cdevwcb.via.novonet|Other|Midrange Lpar
ce5hns1.via.novonet|Other|VIO Network or Storage
ce5hvn1.via.novonet|Other|VIO Network or Storage
ce5hvn2.via.novonet|Other|VIO Network or Storage
ce5hvs1.via.novonet|Other|VIO Network or Storage
ce5hvs2.via.novonet|Other|VIO Network or Storage
cfc01p.via.novonet|Other|Mainframe Coupler
cfc02s.via.novonet|Other|Mainframe Lpar
cfc05p.via.novonet|Other|Mainframe Lpar
cfc06p.via.novonet|Other|Mainframe Lpar
cfd01p.via.novonet|Other|Mainframe Coupler
cfd02s.via.novonet|Other|Mainframe Lpar
cfd05p.via.novonet|Other|Mainframe Lpar
cfd06p.via.novonet|Other|Mainframe Lpar
cfe01p.via.novonet|Other|Mainframe Coupler
cff01p.via.novonet|Other|Mainframe Coupler
cgui-nt1.via.novonet|Infrastructure Application|
chapman.via.novonet|Other|Midrange Lpar
charles.via.novonet|Other|Midrange Lpar
cherwell.via.novonet|Other|Midrange Lpar
cic2 vfarm.via1.novonet|Other|VF CIC
cic4 vfarm.via.novonet|Other|VF CIC
cic_ams500.via.novonet|Storage|
cicsvr01.ecs.com|Other|CIC2
ck200031900125.via.novonet|Storage|
ck200042000333.via.novonet|Storage|
ck200052201065.via.novonet|Storage|
ck200052201066.via.novonet|Storage|
ck200052700064.via.novonet|Storage|
cleese.via.novonet|Other|Midrange Lpar
cmcsp51 cluster.via.novonet|Other|Distributed Cluster SQL
cmcsp51a.ecs.com|Business Application|
cmcsp51b.ecs.com|Business Application|
cndl003a.via.novonet|Other|Data Warehouse
cndl003b.via.novonet|Other|Data Warehouse
cndl003c.via.novonet|Other|Data Warehouse
cndl003d.via.novonet|Other|Data Warehouse
cndl003zc cluster.via.novonet|Other|Distributed Cluster Infrastructure
cndl014a.ecs.com|Database|SQL
cndl014b.ecs.com|Database|SQL
cndl014zc cluster.via.novonet|Other|Distributed Cluster SQL
cndp305 cluster.via.novonet|Other|Distributed Cluster Infrastructure
cndp305a.via.novonet|Infrastructure Application|
cndp305b.via.novonet|Infrastructure Application|
cndp306 cluster.via.novonet|Other|Distributed Cluster Infrastructure
cndp306a.via.novonet|Business Application|MQ
cndp306b.via.novonet|Business Application|MQ
cndp307 cluster.via.novonet|Other|Distributed Cluster Infrastructure
cndp307a.via.novonet|Infrastructure Application|
cndp307b.via.novonet|Infrastructure Application|
cndp491zc clusters.via.novonet|Other|Distributed Cluster SQL
colorado.via.novonet|Other|Midrange Lpar
con1.via.novonet|Other|Mainframe Lpar
con2.via.novonet|Other|Mainframe Lpar
conman1.via.novonet|Other|Midrange Lpar
conman18.via.novonet|Other|Midrange Lpar
conman30.via.novonet|Other|Midrange Lpar
conqueror cluster.via.novonet|Other|Midrange Cluster
cooper.via.novonet|Other|Midrange Lpar
core1.via.novonet|Other|Midrange Host
core2.via.novonet|Other|Midrange Host
cork.via.novonet|Other|Midrange Lpar
cppdmqb.via.novonet|Other|Midrange Lpar
cppdmqc.via.novonet|Other|Midrange Lpar
cpportd01.via.novonet|Other|Midrange Lpar
cprdmqb.via.novonet|Other|Midrange Lpar
cprdmqc.via.novonet|Other|Midrange Lpar
crewasp01.via.novonet|Other|Midrange Lpar
csyswcc.via.novonet|Other|Midrange Lpar
ctxact01.via.novonet|Business Application|Prophet
ctxact02.via.novonet|Business Application|Prophet
ctxact03.via.novonet|Business Application|Prophet
ctxact16.via.novonet|Business Application|Prophet
ctxl003p.via.novonet|Citrix|Spire
ctxl006z.via.novonet|Citrix|Spire
ctxl007z.via.novonet|Citrix|Spire
ctxl008z.via.novonet|Citrix|Spire
ctxl009z.via.novonet|Citrix|Spire
ctxl315p.via.novonet|Citrix|Spire
ctxl317p.via.novonet|Citrix|Spire
ctxl338p.via.novonet|Citrix|Spire
ctxl340p.via.novonet|Citrix|Spire
ctxl341p.via.novonet|Citrix|Spire
ctxl342p.via.novonet|Citrix|Spire
ctxl343p.via.novonet|Citrix|Spire
ctxl351p.via.novonet|Citrix|Spire
ctxl352p.via.novonet|Citrix|Spire
ctxl379p.via.novonet|Citrix|Spire
ctxl380p.via.novonet|Citrix|Spire
ctxl381p.via.novonet|Citrix|Spire
ctxl389p.via.novonet|Citrix|Spire
ctxl432a.via.novonet|Citrix|Spire
ctxl433a.via.novonet|Citrix|Spire
ctxl434a.via.novonet|Citrix|Spire
damselfly cluster.via.novonet|Other|Midrange Cluster
data0702.via.novonet|Other|Data Warehouse
datasink0.via.novonet|Other|Midrange Lpar
datasink1.via.novonet|Other|Midrange Lpar
datg (dsg).via.novonet|Database|
datl001w.via.novonet|Other|Data Warehouse
datl002w.via.novonet|Other|Data Warehouse
datl003w.via.novonet|Other|Data Warehouse
datl004w.via.novonet|Other|Data Warehouse
datl005w.via.novonet|Other|Data Warehouse
datl010n.via.novonet|Other|Data Warehouse
datl015w.via.novonet|Other|Data Warehouse
datl024w.via.novonet|Other|Data Warehouse
datl029iv.via.novonet|Other|Data Warehouse
datl030iv.via.novonet|Other|Data Warehouse
datl031w.via.novonet|Other|Data Warehouse
datl036w.via.novonet|Other|Data Warehouse
datl042f.via.novonet|Other|Data Warehouse
datl045w.via.novonet|Other|Data Warehouse
datl047f.via.novonet|Other|Data Warehouse
datl048s.via.novonet|Other|Data Warehouse
datl049s.via.novonet|Other|Data Warehouse
datl050s.via.novonet|Other|Data Warehouse
datl052s.via.novonet|Other|Data Warehouse
datl053s.via.novonet|Other|Data Warehouse
datl054s.via.novonet|Other|Data Warehouse
datl055s.via.novonet|Other|Data Warehouse
datl056s.via.novonet|Other|Data Warehouse
datl057w.via.novonet|Other|Data Warehouse
datl059w.via.novonet|Other|Data Warehouse
datl060w.via.novonet|Other|Data Warehouse
datl061s.via.novonet|Other|Data Warehouse
datl062s.via.novonet|Other|Data Warehouse
datl064s.via.novonet|Other|Data Warehouse
datl065s.via.novonet|Other|Data Warehouse
datl066s.via.novonet|Other|Data Warehouse
datl067s.via.novonet|Other|Data Warehouse
datl068s.via.novonet|Other|Data Warehouse
datl070s.via.novonet|Other|Data Warehouse
datl075s.via.novonet|Other|Data Warehouse
datl076s-f.via.novonet|Other|Data Warehouse
datl076s.via.novonet|Other|Data Warehouse
datl077s-f.via.novonet|Other|Data Warehouse
datl077s.via.novonet|Other|Data Warehouse
datl078s-f.via.novonet|Other|Data Warehouse
datl078s.via.novonet|Other|Data Warehouse
datl079w.via.novonet|Other|Data Warehouse
datl080s-f.via.novonet|Other|Data Warehouse
datl080s.via.novonet|Other|Data Warehouse
datl081w.via.novonet|Other|Data Warehouse
datl082s.via.novonet|Other|Data Warehouse
datl083s.via.novonet|Other|Data Warehouse
datl084s.via.novonet|Other|Data Warehouse
datl086s.via.novonet|Other|Data Warehouse
datl087s.via.novonet|Other|Data Warehouse
datl089w.via.novonet|Other|Data Warehouse
datl097w.via.novonet|Other|Data Warehouse
datl098w.via.novonet|Other|Data Warehouse
datp001w.error.com|Other|CIC4
datp491iv.via.novonet|Other|Distributed Cluster Data
daug (dsg).via.novonet|Database|
dbpg (dsg).via.novonet|Database|
dbug (dsg).via.novonet|Database|
dc2 - sysplex timer1.via.novonet|Other|Mainframe Timer
dc2 - sysplex timer3.via.novonet|Other|Mainframe Timer
dc2-san-a-sw5.via.novonet|Storage|
dc2-san-a-sw6.via.novonet|Storage|
dc2-san-a-sw9.via.novonet|Storage|
dc2-san-b-sw10.via.novonet|Storage|
dc2-san-b-sw7.via.novonet|Storage|
dc2-san-b-sw8.via.novonet|Storage|
dc2drive01.via.novonet|Backup Management|
dc2drive02.via.novonet|Backup Management|
dc2drive03.via.novonet|Backup Management|
dc2drive04.via.novonet|Backup Management|
dc2drive05.via.novonet|Backup Management|
dc3 - sysplex timer2.via.novonet|Other|Mainframe Timer
dc3-san-a-sw11.via.novonet|Storage|
dc3-san-a-sw12.via.novonet|Storage|
dc3-san-b-sw13.via.novonet|Storage|
dc3-san-b-sw14.via.novonet|Storage|
dccgnui01.via.novonet|Directory Services|
dcmcdp01.via.novonet|Other|Midrange Lpar
dcmcdp02.via.novonet|Other|Midrange Lpar
dcmcdr01.via.novonet|Other|Midrange Lpar
dcmcdr02.via.novonet|Other|Midrange Lpar
dcmcvi01.via.novonet|Other|Midrange Lpar
dcmcvi02.via.novonet|Other|Midrange Lpar
dcmcvp01.via.novonet|Other|Midrange Lpar
dcmcvp02.via.novonet|Other|Midrange Lpar
dcmcvr01.via.novonet|Other|Midrange Lpar
dcmcvr02.via.novonet|Other|Midrange Lpar
dcmnimp01.via.novonet|Other|Midrange Lpar
dcmnimp02.via.novonet|Other|Midrange Lpar
dcnu0101.via.novonet|Directory Services|
dcnu0102.via.novonet|Directory Services|
dcsnbp3.via.novonet|Other|Midrange Lpar
dcsnbp4.via.novonet|Other|Midrange Lpar
dcssm01.via.novonet|Other|Midrange Lpar
dcssm02.via.novonet|Other|Midrange Lpar
dcssm03.via.novonet|Other|Midrange Lpar
dcssm04.via.novonet|Other|Midrange Lpar
dcssm07.via.novonet|Other|Midrange Lpar
dcssm08.via.novonet|Other|Midrange Lpar
ddxg (dsg).via.novonet|Database|
delboy.via.novonet|Other|Midrange Host
dfsl002r.via.novonet|Infrastructure Application|
dfsp001r.via.novonet|Other|CIC4
dgpg (dsg).via.novonet|Database|
dgsg (dsg).via.novonet|Database|
dilnu1za.via.novonet|Infrastructure Application|
dipg (dsg).via.novonet|Database|
dir_33.via.novonet|Storage|
dir_34.via.novonet|Storage|
dir_4a.via.novonet|Storage|
dir_4b.via.novonet|Storage|
diug (dsg).via.novonet|Database|
dlonl001.via.novonet|Messaging|
dlonl101.via.novonet|Messaging|
dlpg (dsg).via.novonet|Database|
dlsg (dsg).via.novonet|Database|
dolphin.via.novonet|Other|Midrange Lpar
doml033n.via.novonet|Directory Services|
doml034n.via.novonet|Directory Services|
doml057f.via.novonet|Directory Services|
domp003f.via.novonet|Other|CIC4
domp004f.via.novonet|Other|CIC4
domr001f-drrn.error.com|Directory Services|
domr002a.via.novonet|Infrastructure Application|
domr003f-drrn.error.com|Directory Services|
dpefs003.via.novonet|Business Application|Prophet
dpefs004.via.novonet|Business Application|Prophet
dr-remedial-dc2.via.novonet|Storage|
dr-remedial-dc3.via.novonet|Storage|
dr57002-1.via.novonet|Other|Midrange Lpar
dr57002-2.via.novonet|Other|Midrange Lpar
dr57002-3.via.novonet|Other|Midrange Lpar
dr57002-4.via.novonet|Other|Midrange Lpar
dr57003-1.via.novonet|Other|Midrange Lpar
dr57003-2.via.novonet|Other|Midrange Lpar
dr57003-3.via.novonet|Other|Midrange Lpar
dr57003-4.via.novonet|Other|Midrange Lpar
dragonfly cluster.via.novonet|Other|Midrange Cluster
dravitp1.via.novonet|Other|Mainframe Lpar
dravitp2.via.novonet|Other|Mainframe Lpar
drhibp.via.novonet|Other|Mainframe Lpar
dribm1.via.novonet|Other|Mainframe Lpar
dribm2.via.novonet|Other|Mainframe Lpar
dribm3.via.novonet|Other|Mainframe Lpar
dribm4.via.novonet|Other|Mainframe Lpar
dribm5.via.novonet|Other|Mainframe Lpar
dribm9.via.novonet|Other|Mainframe Lpar
dribma.via.novonet|Other|Mainframe Lpar
dribmc.via.novonet|Other|Mainframe Lpar
dribme.via.novonet|Other|Mainframe Lpar
dribml.via.novonet|Other|Mainframe Lpar
dribmr.via.novonet|Other|Mainframe Lpar
drldap202.via.novonet|Other|Midrange Lpar
drlpp1.via.novonet|Other|Mainframe Lpar
drlpp2.via.novonet|Other|Mainframe Lpar
drlpp3.via.novonet|Other|Mainframe Lpar
drlppa.via.novonet|Other|Mainframe Lpar
drlppb.via.novonet|Other|Mainframe Lpar
drmvsa.via.novonet|Other|Mainframe Lpar
drmvsd.via.novonet|Other|Mainframe Lpar
drmvsr.via.novonet|Other|Mainframe Lpar
drnbu301.via.novonet|Other|Midrange Lpar
drnim201.via.novonet|Other|Midrange Lpar
drpexp.via.novonet|Other|Mainframe Lpar
drpnp1.via.novonet|Other|Mainframe Lpar
drpzd2.via.novonet|Other|Mainframe Lpar
drpzr1.via.novonet|Other|Mainframe Lpar
drpzy1.via.novonet|Other|Mainframe Lpar
drtsm302.via.novonet|Other|Midrange Lpar
dtlnu1zm.error.com|Other|Data Warehouse
dtlnu9aa.via.novonet|Business Application|
dtlnu9ab.via.novonet|Business Application|
dtlnu9ba.bow-eth.geo.norwich-union.com|Other|Data Warehouse
dtlnu9bb.bow-eth.geo.norwich-union.com|Other|Data Warehouse
dwpg (dsg).via.novonet|Database|
dwsg (dsg).via.novonet|Database|
e1eav1b.via.novonet|Other|VIO Network or Storage
e1eav2b.via.novonet|Other|VIO Network or Storage
e1fav1c.via.novonet|Other|VIO Network or Storage
e1fav2c.via.novonet|Other|VIO Network or Storage
e39dv1c.via.novonet|Other|VIO Network or Storage
e39dv2c.via.novonet|Other|VIO Network or Storage
earth.via.novonet|Other|Midrange Lpar
elbrus.via.novonet|Other|Midrange Lpar
endeavour cluster.via.novonet|Other|Midrange Cluster
endurance cluster.via.novonet|Other|Midrange Cluster
erebus.via.novonet|Other|Midrange Lpar
esxc001a.via.novonet|Other|VH DIST
esxc001b.via.novonet|Other|VH DIST
esxc001c.via.novonet|Other|VH DIST
esxc001d.via.novonet|Other|VH DIST
esxc001e.via.novonet|Other|VH DIST
esxc001f.via.novonet|Other|VH DIST
esxc002a.via.novonet|Other|VH DIST
esxc002b.via.novonet|Other|VH DIST
esxc002c.via.novonet|Other|VH DIST
esxc002d.via.novonet|Other|VH DIST
esxc002e.via.novonet|Other|VH DIST
esxc002f.via.novonet|Other|VH DIST
esxc003a.via.novonet|Other|VH DIST
esxc003b.via.novonet|Other|VH DIST
esxc003c.via.novonet|Other|VH DIST
esxc003d.via.novonet|Other|VH DIST
esxc003e.via.novonet|Other|VH DIST
esxc003f.via.novonet|Other|VH DIST
esxd001a.via.novonet|Other|VH CIC
esxd001b.via.novonet|Other|VH CIC
esxd001c.via.novonet|Other|VH CIC
esxd001d.via.novonet|Other|VH CIC
esxd001e.via.novonet|Other|VH CIC
esxd001f.via.novonet|Other|VH CIC
esxd002a.via.novonet|Other|VH CIC
esxd002b.via.novonet|Other|VH CIC
esxd002c.via.novonet|Other|VH CIC
esxd002d.via.novonet|Other|VH CIC
esxd002e.via.novonet|Other|VH CIC
esxd002f.via.novonet|Other|VH CIC
esxd006a.via.novonet|Other|VH CIC
esxd006b.via.novonet|Other|VH CIC
esxd006c.via.novonet|Other|VH CIC
esxd006d.via.novonet|Other|VH CIC
esxd006e.via.novonet|Other|VH CIC
esxd007a.via.novonet|Other|VH CIC
esxd007b.via.novonet|Other|VH CIC
esxd007c.via.novonet|Other|VH CIC
esxd007d.via.novonet|Other|VH CIC
esxd008a.via.novonet|Other|VH CIC
esxd008b.via.novonet|Other|VH CIC
esxd008c.via.novonet|Other|VH CIC
esxd009a.via.novonet|Other|VH CIC
esxd009b.via.novonet|Other|VH CIC
esxd009c.via.novonet|Other|VH CIC
esxd009d.via.novonet|Other|VH CIC
esxn001a.via.novonet|Other|VH DIST
esxn001b.via.novonet|Other|VH DIST
esxn001c.via.novonet|Other|VH DIST
esxn002a.via.novonet|Other|VH DIST
esxn002b.via.novonet|Other|VH DIST
esxn002c.via.novonet|Other|VH DIST
esxn002d.via.novonet|Other|VH DIST
esxn003b.via.novonet|Other|VH DIST
esxn003c.via.novonet|Other|VH DIST
esxn004a.via.novonet|Other|VH DIST
esxn004b.via.novonet|Other|VH DIST
esxn007a.via.novonet|Other|VH DIST
esxn007b.via.novonet|Other|VH DIST
esxn007c.via.novonet|Other|VH DIST
esxn007d.via.novonet|Other|VH DIST
