Full Node Name|System Group Name|System Group Type
baker2.via.novonet||
bauer1.via.novonet||
bauer2.via.novonet||
bclnu1zb.norwich-union.com|NONHPSA|reporting
bclnu5ha.via.novonet|NONHPSA|reporting
bclnu9aa.via.novonet|NONHPSA|reporting
bddnu1sa.via.novonet|NONHPSA|reporting
beaker.via.novonet||
beaker_bunson.via.novonet||
belgiumdev.via.novonet||
belgiumprd.via.novonet||
belprdha.via.novonet||
bldl001p.via.novonet|NONHPSA|reporting
bldl005d.via.novonet|HPSA|reporting
bldl005d.via.novonet|NONHPSA|reporting
bldl006d.via.novonet|HPSA|reporting
bldl006d.via.novonet|NONHPSA|reporting
bldl007d.via.novonet|NONHPSA|reporting
bldl0101.via.novonet|NONHPSA|reporting
bldl0102.via.novonet|NONHPSA|reporting
bldl302a.via.novonet|NONHPSA|reporting
bldl303a.via.novonet|NONHPSA|reporting
bldl304a.via.novonet|NONHPSA|reporting
bldl365a.via.novonet|NONHPSA|reporting
bldl366a.via.novonet|HPSA|reporting
bldl366a.via.novonet|NONHPSA|reporting
bldl369a.via.novonet|HPSA|reporting
bldl369a.via.novonet|NONHPSA|reporting
blds001a.via.novonet|NONHPSA|reporting
blds002a.via.novonet|NONHPSA|reporting
bmw cluster.via.novonet||
bond1.via.novonet||
bond2.via.novonet||
bourne1.via.novonet||
bourne2.via.novonet||
bradano_volturno.via.novonet||
brooklands.via.novonet|NONHPSA|reporting
bunsen.via.novonet||
burns1.via.novonet|NONHPSA|reporting
burns2.via.novonet|NONHPSA|reporting
buscrit01.via.novonet|NONHPSA|reporting
buscrit02.via.novonet|NONHPSA|reporting
buscrit03.via.novonet|NONHPSA|reporting
butterfly cluster.via.novonet||
c3_data.im.root-domain.net||
camilla.via.novonet||
ccpocd01.via.novonet|NONHPSA|reporting
ccpocd02.via.novonet|NONHPSA|reporting
cdevblb.via.novonet|NONHPSA|reporting
cdevplb.via.novonet|NONHPSA|reporting
cdevwcb.via.novonet|NONHPSA|reporting
ce5hns1.via.novonet||
ce5hvn1.via.novonet|NONHPSA|reporting
ce5hvn2.via.novonet||
ce5hvs1.via.novonet|NONHPSA|reporting
ce5hvs2.via.novonet|HPSA|reporting
cfc01p.via.novonet|NONHPSA|reporting
cfc02s.via.novonet|NONHPSA|reporting
cfc05p.via.novonet||
cfc06p.via.novonet||
cfd01p.via.novonet|NONHPSA|reporting
cfd02s.via.novonet|NONHPSA|reporting
cfd05p.via.novonet||
cfd06p.via.novonet||
cfe01p.via.novonet|NONHPSA|reporting
cff01p.via.novonet|NONHPSA|reporting
cgui-nt1.via.novonet|NONHPSA|reporting
chapman.via.novonet|NONHPSA|reporting
charles.via.novonet||
cherwell.via.novonet||
cic2 vfarm.via1.novonet|NONHPSA|reporting
cic4 vfarm.via.novonet|NONHPSA|reporting
cic_ams500.via.novonet||
cicsvr01.ecs.com|NONHPSA|reporting
ck200031900125.via.novonet||
ck200042000333.via.novonet||
ck200052201065.via.novonet||
ck200052201066.via.novonet||
ck200052700064.via.novonet||
cleese.via.novonet|NONHPSA|reporting
cmcsp51 cluster.via.novonet||
cmcsp51a.ecs.com|HPSA|reporting
cmcsp51b.ecs.com|NONHPSA|reporting
cndl003a.via.novonet|NONHPSA|reporting
cndl003b.via.novonet|HPSA|reporting
cndl003c.via.novonet|NONHPSA|reporting
cndl003d.via.novonet|HPSA|reporting
cndl003zc cluster.via.novonet||
cndl014a.ecs.com|HPSA|reporting
cndl014a.ecs.com|NONHPSA|reporting
cndl014b.ecs.com|HPSA|reporting
cndl014b.ecs.com|NONHPSA|reporting
cndl014zc cluster.via.novonet||
cndp305 cluster.via.novonet||
cndp305a.via.novonet|NONHPSA|reporting
cndp305b.via.novonet|NONHPSA|reporting
cndp306 cluster.via.novonet||
cndp306a.via.novonet|NONHPSA|reporting
cndp306b.via.novonet|NONHPSA|reporting
cndp307 cluster.via.novonet||
cndp307a.via.novonet|NONHPSA|reporting
cndp307b.via.novonet|NONHPSA|reporting
cndp491zc clusters.via.novonet||
colorado.via.novonet|NONHPSA|reporting
con1.via.novonet|NONHPSA|reporting
con2.via.novonet|NONHPSA|reporting
conman1.via.novonet||
conman18.via.novonet||
conman30.via.novonet||
conqueror cluster.via.novonet||
cooper.via.novonet|NONHPSA|reporting
core1.via.novonet|NONHPSA|reporting
core2.via.novonet|NONHPSA|reporting
cork.via.novonet|NONHPSA|reporting
cppdmqb.via.novonet|NONHPSA|reporting
cppdmqc.via.novonet|NONHPSA|reporting
cpportd01.via.novonet|NONHPSA|reporting
cprdmqb.via.novonet|NONHPSA|reporting
cprdmqc.via.novonet|NONHPSA|reporting
crewasp01.via.novonet|NONHPSA|reporting
csyswcc.via.novonet|NONHPSA|reporting
ctxact01.via.novonet|NONHPSA|reporting
ctxact02.via.novonet|NONHPSA|reporting
ctxact03.via.novonet|HPSA|reporting
ctxact03.via.novonet|NONHPSA|reporting
ctxact16.via.novonet|NONHPSA|reporting
ctxl003p.via.novonet||
ctxl006z.via.novonet|NONHPSA|reporting
ctxl007z.via.novonet|NONHPSA|reporting
ctxl008z.via.novonet|NONHPSA|reporting
ctxl009z.via.novonet|NONHPSA|reporting
ctxl315p.via.novonet|NONHPSA|reporting
ctxl317p.via.novonet|NONHPSA|reporting
ctxl338p.via.novonet|NONHPSA|reporting
ctxl340p.via.novonet|NONHPSA|reporting
ctxl341p.via.novonet|NONHPSA|reporting
ctxl342p.via.novonet|NONHPSA|reporting
ctxl343p.via.novonet|NONHPSA|reporting
ctxl351p.via.novonet|NONHPSA|reporting
ctxl352p.via.novonet|NONHPSA|reporting
ctxl379p.via.novonet|NONHPSA|reporting
ctxl380p.via.novonet|NONHPSA|reporting
ctxl381p.via.novonet|NONHPSA|reporting
ctxl389p.via.novonet|NONHPSA|reporting
ctxl432a.via.novonet|NONHPSA|reporting
ctxl433a.via.novonet|NONHPSA|reporting
ctxl434a.via.novonet|HPSA|reporting
ctxl434a.via.novonet|NONHPSA|reporting
damselfly cluster.via.novonet||
data0702.via.novonet|HPSA|reporting
datasink0.via.novonet|NONHPSA|reporting
datasink1.via.novonet|NONHPSA|reporting
datg (dsg).via.novonet||
datl001w.via.novonet|NONHPSA|reporting
datl002w.via.novonet|NONHPSA|reporting
datl003w.via.novonet|NONHPSA|reporting
datl004w.via.novonet|NONHPSA|reporting
datl005w.via.novonet|NONHPSA|reporting
datl010n.via.novonet|NONHPSA|reporting
datl015w.via.novonet|HPSA|reporting
datl015w.via.novonet|NONHPSA|reporting
datl024w.via.novonet|NONHPSA|reporting
datl029iv.via.novonet|HPSA|reporting
datl030iv.via.novonet|HPSA|reporting
datl031w.via.novonet|NONHPSA|reporting
datl036w.via.novonet|NONHPSA|reporting
datl042f.via.novonet|NONHPSA|reporting
datl045w.via.novonet|NONHPSA|reporting
datl047f.via.novonet|NONHPSA|reporting
datl048s.via.novonet|HPSA|reporting
datl048s.via.novonet|NONHPSA|reporting
datl049s.via.novonet|NONHPSA|reporting
datl050s.via.novonet|NONHPSA|reporting
datl052s.via.novonet|NONHPSA|reporting
datl053s.via.novonet|NONHPSA|reporting
datl054s.via.novonet|NONHPSA|reporting
datl055s.via.novonet|NONHPSA|reporting
datl056s.via.novonet|HPSA|reporting
datl056s.via.novonet|NONHPSA|reporting
datl057w.via.novonet|NONHPSA|reporting
datl059w.via.novonet|NONHPSA|reporting
datl060w.via.novonet|HPSA|reporting
datl060w.via.novonet|NONHPSA|reporting
datl061s.via.novonet|NONHPSA|reporting
datl062s.via.novonet|HPSA|reporting
datl062s.via.novonet|NONHPSA|reporting
datl064s.via.novonet|NONHPSA|reporting
datl065s.via.novonet|NONHPSA|reporting
datl066s.via.novonet|NONHPSA|reporting
datl067s.via.novonet|HPSA|reporting
datl067s.via.novonet|NONHPSA|reporting
datl068s.via.novonet|HPSA|reporting
datl068s.via.novonet|NONHPSA|reporting
datl070s.via.novonet|HPSA|reporting
datl070s.via.novonet|NONHPSA|reporting
datl075s.via.novonet|NONHPSA|reporting
datl076s-f.via.novonet|HPSA|reporting
datl076s-f.via.novonet|NONHPSA|reporting
datl076s.via.novonet|NONHPSA|reporting
datl077s-f.via.novonet|HPSA|reporting
datl077s-f.via.novonet|NONHPSA|reporting
datl077s.via.novonet|NONHPSA|reporting
datl078s-f.via.novonet|HPSA|reporting
datl078s-f.via.novonet|NONHPSA|reporting
datl078s.via.novonet|HPSA|reporting
datl078s.via.novonet|NONHPSA|reporting
datl079w.via.novonet|NONHPSA|reporting
datl080s-f.via.novonet|HPSA|reporting
datl080s-f.via.novonet|NONHPSA|reporting
datl080s.via.novonet|NONHPSA|reporting
datl081w.via.novonet|NONHPSA|reporting
datl082s.via.novonet|NONHPSA|reporting
datl083s.via.novonet|NONHPSA|reporting
datl084s.via.novonet|HPSA|reporting
datl084s.via.novonet|NONHPSA|reporting
datl086s.via.novonet|NONHPSA|reporting
datl087s.via.novonet|NONHPSA|reporting
datl089w.via.novonet|NONHPSA|reporting
datl097w.via.novonet||
datl098w.via.novonet||
