Solution Name|Instance System Name|Instance Solution Name|Instance Name
aviva uk:adviser portal prd hps|hybihsr01.via.novonet|websphere http server instance|HYBIHSR01-HYBIHSR01.NORWICH-UNION.COM-PO_HYBI
aviva uk:adviser portal prd hps|hybihsr01.via.novonet|websphere http server instance|HYBIHSR01-NORWICH-UNION.COM-PO_HYBIHSR01-HYB
aviva uk:adviser portal prd hps|hybihsr02.via.novonet|websphere http server instance|HYBIHSR02-HYBIHSR02.NORWICH-UNION.COM-PO_HYBI
aviva uk:adviser portal prd hps|hybihsr02.via.novonet|websphere http server instance|HYBIHSR02-NORWICH-UNION.COM-PO_HYBIHSR02-HYB
aviva uk:adviser portal prd hps|hybihsr03.via.novonet|websphere http server instance|HYBIHSR03-HYBIHSR03.NORWICH-UNION.COM-PO_HYBI
aviva uk:adviser portal prd hps|hybihsr03.via.novonet|websphere http server instance|HYBIHSR03-NORWICH-UNION.COM-PO_HYBIHSR03-HYB
aviva uk:adviser portal prd hps|hybihsr04.via.novonet|websphere http server instance|HYBIHSR04-HYBIHSR04.NORWICH-UNION.COM-PO_HYBI
aviva uk:adviser portal prd hps|hybihsr04.via.novonet|websphere http server instance|HYBIHSR04-NORWICH-UNION.COM-PO_HYBIHSR04-HYB
aviva uk:adviser portal prd hps|hybihsu01.via.novonet|websphere http server instance|HYBIHSU01-HYBIHSU01.NORWICH-UNION.COM-PO_HYBI
aviva uk:unisure tst hpg(x)|unisure_dev cluster.via.novonet|oracle single instance|IA ORADB
aviva uk:agc bucket hp hs|conqueror cluster.via.novonet|oracle single instance|IAO04D ORADB
aviva uk:agc bucket hp hs|conqueror cluster.via.novonet|oracle single instance|IAO05S ORADB
aviva uk:unisure tst hpg(x)|unisure_dev cluster.via.novonet|oracle single instance|IB ORADB
aviva uk:magnitude cartesis finance dev hpb|ukhacnw47 cluster.via.novonet|oracle single instance|ICA01D ORADB
aviva uk:magnitude cartesis finance prd hpg|ukhacn489 cluster.via.novonet|oracle single instance|ICA01P ORADB
aviva uk:magnitude cartesis finance pre hps|ukhacnw47 cluster.via.novonet|oracle single instance|ICA01R ORADB
aviva uk:magnitude cartesis finance tst hps|ukhacnw47 cluster.via.novonet|oracle single instance|ICA01U ORADB
aviva uk:pci dev hpb|ukhacn431 cluster.via.novonet|oracle single instance|ICC11D ORADB
aviva uk:pci prd hpg|ukhacn420 cluster.via.novonet|oracle single instance|ICC11P ORADB
aviva uk:pci pre hpb|ukhacn431 cluster.via.novonet|oracle single instance|ICC11R ORADB
aviva uk:pci tst hpb|ukhacn431 cluster.via.novonet|oracle single instance|ICC11T ORADB
aviva uk:pci uat hpb|ukhacn431 cluster.via.novonet|oracle single instance|ICC11U ORADB
aviva uk:digital flood dev hps|ukhacn434 cluster.via.novonet|oracle single instance|IDF11D ORADB
aviva uk:digital flood prd hpg|ukhacn441 cluster.via.novonet|oracle single instance|IDF11P ORADB
aviva uk:documentum dev hpb|ukhacnc07 cluster.via.novonet|oracle single instance|IDM11D ORADB
